日付,名前,緯度,経度
2026/04/12,大地の精霊,43.627368,142.578316
2026/04/12,大地の精霊,38.767834,140.164509
2026/04/12,大地の精霊,39.737181,141.179912
2026/04/12,大地の精霊,40.2697,141.345102
2026/04/12,大地の精霊,37.685483,141.014273
2026/04/12,大地の精霊,36.929328,137.557604
2026/04/12,大地の精霊,34.927953,138.217546
2026/04/12,大地の精霊,35.137498,138.930295
2026/04/12,大地の精霊,35.291795,135.197563
2026/04/12,大地の精霊,34.824714,135.582913
2026/04/12,大地の精霊,34.902202,134.046968
2026/04/12,大地の精霊,35.407771,133.855412
2026/04/12,大地の精霊,33.541609,130.535324
2026/04/12,大地の精霊,33.54082,130.535002
2026/04/12,大地の精霊,33.117328,130.425453
2026/04/12,水の精霊,43.717763,142.138066
2026/04/12,水の精霊,36.076163,139.34142
2026/04/12,水の精霊,36.319097,139.478809
2026/04/12,水の精霊,36.319298,139.917556
2026/04/12,水の精霊,36.523099,136.899844
2026/04/12,水の精霊,38.173407,139.451298
2026/04/12,水の精霊,34.734233,135.172001
2026/04/12,水の精霊,33.83056,130.973858
2026/04/12,風の精霊,43.68973,142.583402
2026/04/12,風の精霊,42.999837,141.589715
2026/04/12,風の精霊,43.038506,141.234953
2026/04/12,風の精霊,43.799566,142.277284
2026/04/12,風の精霊,43.796337,143.856708
2026/04/12,風の精霊,39.294916,140.576991
2026/04/12,風の精霊,35.832893,140.30162
2026/04/12,風の精霊,35.135365,139.86296
2026/04/12,風の精霊,35.794133,139.451392
2026/04/12,風の精霊,35.806965,139.588295
2026/04/12,風の精霊,36.19136,139.094825
2026/04/12,風の精霊,36.497767,139.917669
2026/04/12,風の精霊,36.713138,139.725258
2026/04/12,風の精霊,36.929743,140.082257
2026/04/12,風の精霊,35.26572,139.588534
2026/04/12,風の精霊,35.575639,139.588456
2026/04/12,風の精霊,36.254651,139.233068
2026/04/12,風の精霊,36.548711,140.521388
2026/04/12,風の精霊,35.523582,136.736026
2026/04/12,風の精霊,34.94287,137.147191
2026/04/12,風の精霊,34.968414,136.98197
2026/04/12,風の精霊,35.201078,136.707723
2026/04/12,風の精霊,35.188704,137.286015
2026/04/12,風の精霊,36.124862,136.159891
2026/04/12,風の精霊,36.216991,137.942486
2026/04/12,風の精霊,34.968454,138.463855
2026/04/12,風の精霊,34.694797,136.240489
2026/04/12,風の精霊,34.565333,136.625719
2026/04/12,風の精霊,35.084267,135.691595
2026/04/12,風の精霊,34.771561,134.813681
2026/04/12,風の精霊,34.264149,135.446083
2026/04/12,風の精霊,34.902686,135.912386
2026/04/12,風の精霊,34.472404,131.604895
2026/04/12,風の精霊,34.61648,133.772248
2026/04/12,風の精霊,34.616352,133.772348
2026/04/12,風の精霊,35.097155,134.07367
2026/04/12,風の精霊,34.863891,132.043562
2026/04/12,風の精霊,34.433744,132.729671
2026/04/12,風の精霊,34.511705,132.45395
2026/04/12,風の精霊,34.537153,133.441679
2026/04/12,風の精霊,34.511154,132.45512
2026/04/12,風の精霊,34.668379,132.565144
2026/04/12,風の精霊,34.146088,134.593782
2026/04/12,風の精霊,33.869531,132.811351
2026/04/12,風の精霊,34.262315,134.074155
2026/04/12,風の精霊,33.369044,133.250474
2026/04/12,風の精霊,33.447667,133.360534
2026/04/12,風の精霊,33.196743,131.577587
2026/04/12,風の精霊,31.848045,131.440194
2026/04/12,風の精霊,32.824793,129.876171
2026/04/12,風の精霊,35.563948,137.529409
2026/04/12,炎の精霊,43.807379,143.620094
2026/04/12,炎の精霊,37.884969,140.192158
2026/04/12,炎の精霊,38.9899,141.426611
2026/04/12,炎の精霊,35.89702,140.493916
2026/04/12,炎の精霊,35.368895,139.094577
2026/04/12,炎の精霊,36.319377,139.972264
2026/04/12,炎の精霊,36.319284,139.972545
2026/04/12,炎の精霊,36.59935,137.228835
2026/04/12,炎の精霊,34.893686,137.528294
2026/04/12,炎の精霊,37.912454,139.262491
2026/04/12,炎の精霊,37.80964,138.92988
2026/04/12,炎の精霊,36.35699,136.48784
2026/04/12,炎の精霊,36.089151,136.296178
2026/04/12,炎の精霊,34.927953,138.217546
